,맥주정보,검색이름,맥주이름,인덱스,편의점
48,"Geokkjer(7,700)
🇳🇴Kristiansand, Norway
3.0November 4, 2016
Bottle.Pours dark brown with an off-white head. Aroma of malt, caramel, some roasted notes and yeast. Flavor is sweet and malty with some…
Show more
Aroma
5
Appearance
4
Flavor
5
Mouthfeel
4
Overall
12",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
49,"AnG_BrgNor(819)
🇳🇴Bergen, Norway
2.6October 31, 2016
Bottle. Cola colour with nice lasting foam. Aroma is weak. Mostly roasted, licorice and some chocolate. The same in the taste, witch also is…
Show more
Aroma
5
Appearance
4
Flavor
5
Mouthfeel
2
Overall
10",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
50,"Arve_Christian(5,277)
🇳🇴Oslo, Norway
3.4October 14, 2016
On bottle from Systembolaget in Strømstad.
black/ dark brown color - good offwhite foam. Medium aroma intensity; malty,…
Show more
Aroma
7
Appearance
5
Flavor
6
Mouthfeel
3
Overall
13",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
51,"Skarecrow(1,734)
🇳🇿North Shore, Auckland, New Zealand
3.2October 2, 2016
334ml bottle BB 1/2017 from Tokyo Liquor Newmarket.…
Show more
Aroma
5
Appearance
4
Flavor
6
Mouthfeel
3
Overall
14",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
52,"ogivlado(11,549)
🇭🇷Zagreb, Croatia
2.4August 25, 2016
Canned 350ml. -Darker brown (cola) coloured, medium sized off-white head, dusty caramel nose. Light roasted malt, caramel, bread and…
Show more
Aroma
5
Appearance
3
Flavor
4
Mouthfeel
2
Overall
10",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
53,"Grzesiek79(5,900)
🇵🇱Radom, Poland
2.8August 20, 2016
Dry, czyli wytrawne. Sadzilem ze bedzie jednak slodkie i ze to sciema. Ale, ale nawet ciut bylo wytrawne, piana srednia i srednio trwala. dosc…
Show more
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
2
Overall
14",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
54,"Ritzn(3,714)
🇩🇪Germany
2.0August 9, 2016
Clear very dark brown with little brown head. Aroma is licorice, dark chocolate, dust, sour corn. Taste is more dust, a watery bitterness, some…
Show more
Aroma
5
Appearance
4
Flavor
3
Mouthfeel
2
Overall
6",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
55,"JaKeAFC(1,745)
🇮🇹Italy
3.3July 7, 2016
50 cl can from a convenience store in Seoul, Korean import. Dark cola color, almost black with a deep red hue. Big beige head, lacing, good…
Show more
Aroma
6
Appearance
4
Flavor
6
Mouthfeel
4
Overall
13",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
56,"StevieT(2,007)
🇦🇺Australia
2.7June 26, 2016
On tap at Eleven Rooftop Bar. Not as bad as I’d expected, the finish was dry and it lacked any sweetness, mild roasted flavours.
Aroma
6
Appearance
3
Flavor
5
Mouthfeel
3
Overall
10",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
57,"chrisv10(23,082)
🇩🇰Denmark
2.5June 16, 2016
Bottle, 5.5%. Very dark brown with medium beige head. Aroma is malt, caramel, bread and hop. Flavour is malt, caramel, bread, little thin,…
Show more
Aroma
4
Appearance
4
Flavor
5
Mouthfeel
3
Overall
9",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
58,"Pyobon(2,136)
🇦🇺Sydney, Australia
2.7May 27, 2016
(Bottle) Pours black with red hints and thin loose tan head. Modest aroma - hints of nuts and cardboard. Light bodied and fizzy.…
Show more
Aroma
5
Appearance
3
Flavor
6
Mouthfeel
2
Overall
11",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
