,맥주,년,평점
516,Asbeer, 2015,1.6
517,Asbeer, 2016,1.4000000000000001
518,Asbeer, 2017,1.8333333333333333
519,Asbeer, 2018,1.75
520,Asbeer, 2020,1.6
521,Asmara Lager Beer, 2005,2.2333333333333334
522,Asmara Lager Beer, 2006,2.8
523,Asmara Lager Beer, 2008,2.625
524,Asmara Lager Beer, 2012,2.2636363636363637
525,Asmara Lager Beer, 2013,1.5538461538461539
526,Asmara Lager Beer, 2014,2.225
527,Asmara Lager Beer, 2015,2.0166666666666666
528,Asmara Lager Beer, 2016,1.7900000000000003
529,Asmara Lager Beer, 2017,1.9615384615384612
530,Asmara Lager Beer, 2018,2.2636363636363637
531,Asmara Lager Beer, 2019,2.3153846153846156
532,Asmara Lager Beer, 2020,1.7
533,Astika Fine Quality Lager, 2007,2.04
534,Astika Fine Quality Lager, 2008,2.15
535,Astika Fine Quality Lager, 2009,1.5666666666666664
536,Astika Fine Quality Lager, 2010,2.1100000000000003
537,Astika Fine Quality Lager, 2011,2.064285714285714
538,Astika Fine Quality Lager, 2012,1.822222222222222
539,Astika Fine Quality Lager, 2013,2.1
540,Astika Fine Quality Lager, 2014,2.2249999999999996
541,Astika Fine Quality Lager, 2015,2.5
542,Astika Fine Quality Lager, 2016,2.0999999999999996
543,Astika Fine Quality Lager, 2017,1.92
544,Astika Fine Quality Lager, 2018,2.0375
545,Astika Fine Quality Lager, 2020,2.3
546,Atlas Three Sisters (Bottle), 2006,3.272727272727272
547,Atlas Three Sisters (Bottle), 2007,3.3
548,Atlas Three Sisters (Bottle), 2008,3.2357142857142853
549,Atlas Three Sisters (Bottle), 2009,3.2478260869565205
550,Atlas Three Sisters (Bottle), 2010,3.127272727272727
551,Atlas Three Sisters (Bottle), 2011,3.0818181818181816
552,Atlas Three Sisters (Bottle), 2012,3.2692307692307687
553,Atlas Three Sisters (Bottle), 2013,3.1000000000000005
554,Atlas Three Sisters (Bottle), 2014,3.34
555,Atlas Three Sisters (Bottle), 2015,2.966666666666667
556,Atlas Three Sisters (Bottle), 2016,3.3
557,Atlas Three Sisters (Bottle), 2017,3.5
558,Augustiner Heller Bock, 2003,3.0
559,Augustiner Heller Bock, 2004,3.325
560,Augustiner Heller Bock, 2005,3.5
561,Augustiner Heller Bock, 2006,3.125
562,Augustiner Heller Bock, 2007,3.0125
563,Augustiner Heller Bock, 2008,3.3000000000000003
564,Augustiner Heller Bock, 2009,3.16
565,Augustiner Heller Bock, 2010,3.2
566,Augustiner Heller Bock, 2011,3.2545454545454544
567,Augustiner Heller Bock, 2012,3.325
568,Augustiner Heller Bock, 2013,3.6999999999999997
569,Augustiner Heller Bock, 2014,3.0285714285714285
570,Augustiner Heller Bock, 2015,3.25
571,Augustiner Heller Bock, 2016,3.4500000000000006
572,Augustiner Heller Bock, 2017,3.3363636363636364
573,Augustiner Heller Bock, 2018,3.075
574,Augustiner Heller Bock, 2019,3.4375
575,Augustiner Heller Bock, 2020,3.7
576,Austral Lager, 2001,1.3
577,Austral Lager, 2002,1.35
578,Austral Lager, 2003,2.2
579,Austral Lager, 2004,2.7
580,Austral Lager, 2005,1.2857142857142858
581,Austral Lager, 2006,1.8499999999999999
582,Austral Lager, 2007,2.42
583,Austral Lager, 2008,2.0875
584,Austral Lager, 2009,2.35
585,Austral Lager, 2010,2.1999999999999997
